date,batch_size,x_dim,lookahead,time_mode,dataset,error_metric,model_name,rmse,wrmse (alpha=2),wprmse (beta=3),mae,r2,get_val_data_from_shuffled_train
2024-10-18 11:42:12.676862,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5769.425709396601,9902.621598243712,8447.67971932888,3753.9800967276096,0.6165965795516968,
2024-10-18 11:47:32.380632,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5769.425709396601,9902.621598243712,8447.67971932888,3753.9800967276096,0.6165965795516968,
2024-10-18 11:52:59.852500,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5769.425709396601,9902.621598243712,8447.67971932888,3753.9800967276096,0.6165965795516968,
2024-10-18 12:00:24.548661,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5778.773154318333,9927.275096476078,8465.717963278294,3769.0205639600754,0.6153532266616821,
2024-10-18 12:04:25.797057,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5748.4548653662205,9909.75896269083,8437.941563129425,3749.284242093563,0.6193786859512329,
2024-10-24 01:56:37.840297,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5753.376921266317,9794.300817549229,8365.978192090988,3752.0530292391777,0.6138955950737,
2024-10-24 01:57:57.148713,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5742.656933069229,9786.636463403702,8363.23868215084,3743.7797789275646,0.615333080291748,
2024-10-24 01:59:10.835780,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_old_windowing,5773.303544968367,9780.73083281517,8372.792113125324,3761.263847202063,0.6112164258956909,
2024-11-13 16:18:29.988784,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_new_windowing,5765.143221020699,9781.938169002531,8363.321634232998,3762.307718992233,0.6123147010803223,
2024-11-13 16:22:37.145542,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_new_windowing,5801.340303122997,9847.35111385584,8421.455011069775,3783.3765022456646,0.607431173324585,
2024-11-13 16:36:51.431311,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_new_windowing,5759.628998786211,9802.942472696304,8372.372473180294,3760.430840998888,0.613055944442749,
2024-11-13 16:40:30.258374,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_new_windowing,5760.608739554882,9760.602754056454,8347.544008791447,3761.446481198072,0.6129242777824402,
2024-11-13 17:20:36.187601,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_moved_window_gen,5741.535337269306,9806.2947127223,8367.057963311672,3752.497066855431,0.615483283996582,
2024-11-13 17:24:20.892727,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_moved_window_gen,5772.636442929506,9785.53856819868,8381.80043041706,3759.137415885925,0.6113063097000122,
2024-11-13 17:52:34.351093,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_added_shuffle_val,5740.09796589613,9810.088202059267,8367.999713420868,3750.6139151752,0.6156758069992065,
2024-11-13 17:56:20.120197,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_added_shuffle_val,5767.8865648806095,9766.2016710639,8364.149760901928,3764.701130539179,0.611945629119873,
2024-11-13 18:11:57.597393,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_change_run_one_model,5773.337701708078,9828.755208849909,8400.207427740097,3774.315555691719,0.6112117767333984,
2024-11-13 18:27:44.249643,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_with_shuffling,5720.135094225407,9702.953845262527,8305.70339679718,3739.190576970577,0.6183443665504456,
2024-11-13 18:35:28.401935,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_with_shuffling,5813.288539797068,9808.682199120522,8415.754320919514,3793.206323981285,0.6058124303817749,
2024-11-13 18:46:11.939293,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_with_shuffling,5779.405054003,9706.351395249369,8349.660332500935,3782.840799093248,0.6103941798210144,
2024-11-13 19:23:15.734204,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_with_shuffling,5822.661776542664,9859.324793815613,8448.93724501133,3799.484541863203,0.604540228843689,
